index,gender,region_large,region_small,age,weight,height,hobbies,user_id
3633,0,Zilina Region,Cadca,2X,5X,17X,sleeping,3737
3634,0,Zilina Region,Zilina,2X,7X,17X,dancing,3627
3635,1,abroad,abroad - australia,0X,4X,14X,music,3682
3636,1,Zilina region,apartment,1X,8X,18X,music,3710
3637,0,Zilina Region,Zilina,2X,8X,17X,shopping,3592
3638,1,Banská Bystrica Region,Brezno,0X,8X,17X,friends,3683
3639,1,Zilina Region,Cadca,0X,8X,17X,sports,3738
3640,1,Presov region,Snina,2X,6X,17X,music,3668
3641,1,Zilina Region,Kysucke New Town,2X,60X,16X,swim,3698
3642,0,Zilina Region,Zilina,2X,7X,18X,knitting,3628
3643,0,Banská Bystrica Region,Brezno,2X,8X,18X,music,3684
3644,0,Banská Bystrica Region,Detva,2X,5X,17X,homework,3711
3645,0,Zilina region,apartment,2X,7X,18X,sports,3699
3646,0,Zilina Region,Zilina,0X,4X,15X,sports,3739
3647,1,Banská Bystrica Region,Brezno,2X,7X,17X,friends,3685
3648,0,Zilina Region,Zilina,2X,7X,17X,movies,3669
3649,1,Zilina Region,Zilina,2X,8X,18X,housework,3629
3650,1,Zilina region,apartment,2X,8X,18X,sports,3712
3651,1,Zilina Region,Cadca,2X,8X,18X,friends,3740
3652,0,Banská Bystrica Region,Brezno,0X,8X,18X,swim,3593
3653,0,Zilina Region,Zilina,0X,5X,16X,sleeping,3700
3654,0,Banská Bystrica Region,Brezno,2X,5X,16X,movies,3670
3655,0,Zilina Region,Cadca,2X,5X,17X,games,3630
3656,1,Banská Bystrica Region,Brezno,2X,7X,17X,swim,3686
3657,1,Zilina Region,Kysucke New Town,2X,5X,16X,PC games,3713
3658,1,Zilina Region,Cadca,0X,7X,18X,music,3741
3659,0,Zilina Region,Zilina,2X,5X,16X,music,3594
3660,0,Zilina region,apartment,2X,2X,14X,cooking,3701
3661,0,Zilina Region,Zilina,0X,5X,16X,sports,3671
3662,1,Zilina Region,Zilina,2X,5X,16X,m_u_f_c,3631
3663,1,Kosice Region,Moldavia above Bodvou,2X,9X,18X,hiking,3714
3664,0,Banská Bystrica Region,Brezno,2X,9X,18X,party,3687
3665,1,Zilina region,apartment,2X,8X,18X,food,3702
3666,1,Banská Bystrica Region,Brezno,2X,8X,19X,party,3595
3667,0,Banska Bystrica Region,Banska Bystrica,2X,6X,16X,photography,3752
3668,0,Zilina Region,Cadca,2X,4X,15X,sports,3742
3669,0,Banska Bystrica Region,Banska Bystrica,0X,5X,17X,sleeping,3672
3670,1,Zilina region,apartment,2X,7X,18X,sports,3715
3671,1,Zilina Region,Cadca,2X,8X,18X,reading,3753
3672,0,abroad,abroad - usa,0X,5X,17X,PC games,3688
3673,1,Zilina Region,Cadca,2X,7X,18X,shopping,3743
3674,0,Presov Region,Svidnik,1X,6X,19X,dancing,3754
3675,0,Zilina region,apartment,0X,7X,18X,movies,3716
3676,1,Zilina Region,Zilina,2X,4X,16X,music,3744
3677,1,Banská Bystrica Region,Brezno,2X,4X,16X,music,3596
3678,0,Zilina Region,Kysucke New Town,1X,3X,15X,reading,3717
3679,1,Zilina Region,Zilina,2X,8X,17X,sports,3755
3680,0,Trnava region,Trnava,0X,6X,17X,sports,3653
3681,1,Zilina Region,Cadca,0X,3X,15X,sports,3612
3682,1,Banská Bystrica Region,Brezno,2X,8X,18X,friends,3597
3683,1,abroad,abroad - others,0X,6X,18X,hiking,3718
3684,0,abroad,abroad - gb,2X,6X,18X,friends,3756
3685,1,Trenc region,by the way,2X,7X,17X,friends,3654
3686,0,Zilinsky region,Martin,1X,6X,17X,sports,3465
3687,1,Banská Bystrica Region,Brezno,2X,8X,18X,sports,3598
3688,0,Zilina Region,Zilina,0X,11X,18X,sports,3550
3689,0,Zilina Region,Kysucke New Town,0X,11X,18X,discos,3719
3690,1,Kosick region,Michalovce,2X,7X,18X,traveling,3613
3691,0,Bratislava region,Bratislava - surroundings,1X,7X,18X,music,3655
3692,0,Zilina Region,Cadca,2X,8X,18X,party,3551
3693,0,Zilinsky Region,Lower Kubin,2X,8X,18X,sleeping,3757
3694,1,Banska Bystrica Region,Banska Bystrica,2X,7X,17X,sleeping,3599
3695,0,Zilina Region,Zilina,2X,5X,16X,swim,3720
3696,0,Zilina Region,Cadca,2X,5X,17X,friends,3614
3697,0,Banská Bystrica Region,Sliac,0X,5X,17X,reading,3656
3698,0,Trencian region,Povazka bystrica,1X,11X,19X,sleeping,3758
3699,1,Zilina Region,Zilina,0X,6X,17X,sports,3552
3700,1,Zilina Region,Cadca,2X,5X,17X,PC games,3721
3701,1,Zilina Region,Cadca,2X,6X,17X,discos,3615
3702,1,Banská Bystrica Region,Brezno,2X,6X,17X,party,3600
3703,1,Zilina Region,Kysucke New Town,2X,7X,16X,music,3759
3704,0,Zilina Region,Zilina,1X,7X,16X,dancing,3657
3705,0,Bratislava region,Bratislava - surroundings,1X,4X,16X,surfing the web,3553
3706,0,Zilina region,apartment,2X,13X,15X,housework,3767
3707,1,Zilina Region,Kysucke New Town,1X,3X,14X,painting,3760
3708,0,Zilina Region,Kysucke New Town,2X,3X,14X,family,3616
3709,1,Zilina Region,Zilina,2X,7X,18X,swim,3703
3710,1,Zilina region,apartment,2X,8X,0X,camping,3768
3711,1,Zilinsky region,Martin,0X,9X,18X,sleeping,3658
3712,0,Zilina Region,Zilina,1X,9X,18X,photography,3554
3713,0,abroad,abroad - others,0X,2X,14X,sleeping,3761
3714,0,Zilina Region,Zilina,2X,2X,14X,swim,3769
3715,1,Trnava region,Trnava,0X,6X,16X,discos,3782
3716,0,Nitra Region,Nitra,0X,5X,16X,movies,3659
3717,1,Zilina Region,Zilina,0X,9X,18X,movies,3636
3718,1,Banská Bystrica Region,Brezno,2X,9X,17X,food,3783
3719,0,kosick region,spisska nova ves,2X,5X,16X,friends,3762
3720,0,Zilina Region,Zilina,0X,8X,18X,sleeping,3770
3721,0,Zilina region,apartment,0X,8X,18X,piano,3704
3722,1,Zilina Region,Kysucke New Town,2X,8X,18X,pissing,3637
3723,0,Trnava region,center,1X,8X,18X,dancing,3660
3724,1,Zilina Region,Zilina,0X,9X,18X,traveling,3771
3725,1,Zilina Region,Kysucke New Town,2X,8X,18X,party,3763
3726,1,Trnava region,center,1X,8X,18X,sports,3784
3727,0,Banska Bystrica Region,Banska Bystrica,2X,8X,14X,reading,3705
3728,0,Trnava region,Trnava,0X,5X,16X,friends,3661
3729,0,Czech Republic,Czech Republic - Prague,0X,5X,16X,games,3638
3730,1,Zilina Region,Zilina,2X,6X,17X,swim,3772
3731,0,Zilina Region,Cadca,2X,6X,17X,reading,3706
3732,1,Banska Bystrica Region,Banska Bystrica,2X,6X,17X,surfing the web,3639
3733,0,Zilina region,apartment,2X,7X,18X,movies,3764
3734,1,Trnava region,hawthorn,1X,6X,18X,sports,3785
3735,0,Zilina Region,Kysucke New Town,2X,5X,17X,surfing the web,3797
3736,0,Trencian region,new city above Vahoh,0X,8X,18X,housework,3640
3737,1,Zilina Region,Kysucke New Town,1X,6X,17X,working with PC,3773
3738,0,Zilina Region,Kysucke New Town,0X,6X,17X,party,3812
3739,0,Zilina region,apartment,2X,6X,17X,movies,3765
3740,1,Zilina Region,Kysucke New Town,0X,6X,17X,swim,3798
3741,1,Trnava region,Trnava,0X,6X,18X,sports,3786
3742,0,Trencian region,new city above Vahoh,0X,4X,15X,painting,3641
3743,1,Zilina Region,Zilina,2X,8X,18X,photography,3774
3744,0,Trnava region,hawthorn,4X,5X,16X,horses,3799
3745,1,Zilina Region,Cadca,2X,7X,19X,sports,3787
3746,1,Zilina Region,Zilina,2X,7X,19X,traveling,3775
3747,1,Zilina Region,Kysucke New Town,0X,30X,18X,cooking,3800
3748,0,Banská Bystrica Region,Brezno,0X,30X,18X,shopping,3601
3749,1,Trnava region,Piestany,2X,128X,58X,music,3788
3750,1,Nitrian region,new castles,1X,7X,18X,photography,3642
3751,1,kosick region,krompachy,0X,8X,17X,sports,3801
3752,1,Trencian region,new city above Vahoh,2X,7X,18X,I like to knit,3776
3753,0,Zilina Region,Cadca,2X,5X,17X,music,3827
3754,0,Zilina Region,Kysucke New Town,2X,5X,17X,sports,3802
3755,1,Trencian region,new city above Vahoh,1X,6X,17X,friends,3643
3756,1,Trnava region,Trnava,2X,6X,17X,reading,3777
3757,0,Zilina Region,Cadca,2X,5X,16X,dancing,3828
3758,0,Banska Bystrica Region,Banska Stiavnica,1X,5X,16X,music,3724
3759,0,Trnava region,hawthorn,0X,3X,13X,dancing,3778
3760,1,Trnava region,Trnava,3X,10X,18X,music,3644
3761,1,Zilina Region,Cadca,0X,8X,17X,camping,3829
3762,1,abroad,abroad - others,0X,5X,16X,sports,3725
3763,0,Trnava region,Trnava,2X,8X,18X,hiking,3779
3764,0,Zilina Region,Kysucke New Town,2X,5X,17X,music,3726
3765,0,Zilina Region,Cadca,2X,5X,17X,sleeping,3830
3766,0,Trnava region,Trnava,2X,5X,15X,party,3780
3767,0,Trnava region,Trnava,2X,4X,16X,sports,3645
3768,1,Banska Bystrica Region,Banska Stiavnica,2X,8X,19X,movies,3727
3769,1,Zilina Region,Cadca,0X,8X,19X,running,3831
3770,0,Banská Bystrica Region,Brezno,2X,8X,19X,discos,3689
3771,0,Zilina Region,Kysucke New Town,2X,8X,19X,I like to knit,3728
3772,1,Bratislava Region,Bratislava - Petrzalka,2X,8X,17X,sports,3690
3773,0,abroad,abroad - gb,0X,8X,17X,food,3646
3774,0,Zilina Region,Zilina,2X,8X,17X,modeling,3832
3775,0,Zilina Region,Kysucke New Town,1X,5X,17X,sports,3729
3776,0,Nitrian region,left,1X,5X,17X,dancing,3842
3777,0,Zilina Region,Kysucke New Town,2X,5X,17X,photography,3813
3778,0,Zilina region,apartment,2X,5X,17X,music,3691
3779,0,Zilina Region,Rajec,2X,5X,17X,music,3833
3780,0,Zilina Region,Kysucke New Town,2X,5X,17X,cooking,3730
3781,1,Zilina Region,Kysucke New Town,1X,5X,17X,PC games,3857
3782,1,Zilina Region,Zilina,2X,8X,18X,technology,3843
3783,1,Zilina Region,Durvosin,2X,6X,16X,dancing,3814
3784,0,Zilina Region,Zilina,2X,6X,16X,movies,3745
3785,0,Zilina Region,Zilina,0X,5X,16X,sleeping,3673
3786,0,Zilina Region,Kysucke New Town,1X,9X,18X,everything,3844
3787,1,Zilina Region,Cadca,2X,8X,17X,party,3858
3788,0,bratislava region,bratislava - ruzinov,2X,5X,17X,homework,3815
3789,1,Zilina Region,Cadca,0X,7X,17X,sleeping,3834
3790,0,Zilina Region,Zilina,2X,5X,16X,sewing,3746
3791,0,Zilina Region,Cadca,1X,4X,15X,surfing the web,3845
3792,0,Zilina Region,Zilina,2X,5X,16X,music,3859
3793,1,Zilina Region,Cadca,2X,8X,18X,movies,3816
3794,1,Zilina Region,Kysucke New Town,2X,7X,18X,swim,3789
3795,1,abroad,abroad - France,2X,8X,18X,working with PC,3731
3796,1,Zilina Region,Cadca,2X,7X,17X,party,3817
3797,0,Zilina Region,Cadca,2X,5X,16X,sleeping,3747
3798,0,Zilina Region,Zilina,2X,5X,16X,shopping,3860
3799,0,Zilina Region,Kysucke New Town,2X,8X,18X,discos,3846
3800,0,Trnava region,Trnava,0X,8X,18X,yoyo,3790
3801,0,Nitra Region,Nitra,0X,8X,18X,cooking,3835
3802,0,Zilina Region,Zilina,0X,5X,15X,music,3847
3803,1,Zilina Region,Cadca,2X,7X,18X,sleeping,3818
3804,0,Trnava region,Piestany,3X,4X,17X,music,3861
3805,1,Zilina Region,Zilina,0X,7X,17X,friends,3748
3806,1,Zilina Region,Zilina,1X,8X,18X,homework,3836
3807,0,Banska Bystrica Region,Banska Stiavnica,0X,9X,18X,reading,3732
3808,1,Zilina Region,Kysucke New Town,2X,9X,18X,cooking,3848
3809,0,Zilina Region,Zilina,0X,5X,16X,sports,3791
3810,1,Zilina Region,Cadca,2X,7X,18X,music,3819
3811,0,presov region,humenne,0X,7X,18X,sports,3466
3812,1,Banská Bystrica Region,Brezno,2X,9X,18X,swim,3674
3813,0,Trenc region,by the way,2X,5X,16X,swim,3733
3814,1,Trnava region,Trnava,0X,5X,16X,movies,3862
3815,1,Zilina Region,Kysucke New Town,2X,4X,17X,friends,3849
3816,1,abroad,abroad - gb,2X,8X,18X,camping,3820
3817,0,Zilina Region,Zilina,2X,8X,18X,breeding,3675
3818,1,Zilina Region,Cadca,2X,8X,19X,swim,3850
3819,1,Trencian region,Puchov,2X,8X,19X,party,3749
3820,0,Trencian region,Povazka bystrica,2X,6X,18X,traveling,3872
3821,1,abroad,abroad - usa,2X,6X,18X,PC work,3851
3822,1,abroad,abroad - others,1X,9X,20X,sleeping,3734
3823,0,Zilina Region,Cadca,0X,8X,18X,hiking,3821
3824,0,Zilina Region,Zilina,0X,5X,16X,food,3852
3825,1,Trnava region,Trnava,2X,8X,17X,PC games,3873
3826,0,Bratislava Region,Bratislava - Old Town,0X,6X,17X,sports,3676
3827,1,Zilina Region,Kysucke New Town,2X,6X,17X,sports,3853
3828,1,Trnava region,hawthorn,3X,9X,18X,party,3792
3829,0,presov region,humenne,0X,9X,18X,swim,3822
3830,1,Zilina Region,Cadca,2X,8X,19X,sleeping,3887
3831,1,Trnava region,Trnava,0X,7X,18X,sports,3863
3832,0,Zilina Region,Kysucke New Town,2X,5X,16X,movies,3793
3833,0,Bratislava region,Malacca,2X,6X,16X,camping,3874
3834,1,Zilina Region,Cadca,0X,6X,16X,shopping,3854
3835,1,Zilina Region,Cadca,2X,6X,16X,sleeping,3823
3836,0,Czech Republic,Czech - Ustecky region,1X,6X,16X,surfing the web,3735
3837,1,abroad,abroad - others,0X,5X,17X,discos,3555
3838,1,Trnava region,Piestany,2X,6X,17X,sports,3794
3839,1,Trnava region,Piestany,2X,7X,18X,sleeping,3864
3840,1,Bratislava Region,Bratislava - Old Town,0X,6X,17X,party,3875
3841,1,Zilina Region,Cadca,2X,7X,18X,photography,3736
3842,1,Trnava Region,Velky Meder,2X,7X,17X,movies,3824
3843,0,Zilina Region,Kysucke New Town,2X,7X,17X,working with PC,3556
3844,0,Zilina Region,Kysucke New Town,2X,7X,17X,swim,3888
3845,1,Trnava region,Leopoldov,2X,7X,18X,horse riding,3876
3846,1,Zilina Region,Cadca,0X,8X,17X,sleeping,3825
3847,1,Zilina Region,Zilina,0X,6X,17X,fucking,3889
3848,0,Banská Bystrica region,Lucenec,0X,6X,17X,party,3902
3849,0,Presov Region,Poprad,0X,4X,16X,friends,3837
3850,0,Trnava region,Trnava,0X,4X,16X,dancing,3877
3851,0,Zilina region,apartment,2X,8X,18X,discos,3766
3852,0,Zilina Region,Cadca,2X,9X,17X,music,3826
3853,1,Zilina Region,Kysucke New Town,0X,9X,17X,reading,3903
3854,1,Zilina region,instead,1X,9X,16X,sports,3917
3855,0,Zilina Region,Cadca,2X,9X,16X,friends,3838
3856,1,Trnava region,Trnava,0X,8X,18X,masturbating,3878
3857,1,Trnava region,Trnava,2X,6X,17X,shopping,3865
3858,0,abroad,abroad - usa,0X,5X,17X,party,3890
3859,0,Trnava region,hawthorn,0X,5X,17X,swim,3866
3860,1,Zilina region,instead,1X,5X,17X,movies,3904
3861,0,Zilina Region,Kysucke New Town,0X,5X,17X,party,3879
3862,0,Zilina Region,Zilina,2X,7X,18X,camping,3891
3863,0,Zilina Region,Cadca,2X,5X,16X,friends,3932
3864,1,Zilina Region,Liptovsky Castle,2X,7X,18X,swim,3918
3865,1,Bratislava Region,Bratislava - Old Town,2X,7X,17X,live in style,3867
3866,0,abroad,abroad - usa,0X,7X,17X,sleeping,3892
3867,0,Banská Bystrica region,zarnovica,1X,7X,17X,sleeping,3839
3868,0,Zilina Region,Cadca,2X,5X,15X,the guitar,3919
3869,1,Zilina Region,Cadca,0X,7X,19X,sports,3933
3870,0,Trnava region,Trnava,1X,7X,19X,movies,3880
3871,0,Banská Bystrica Region,Poltar,1X,5X,16X,photography,3905
3872,1,Zilina Region,Zilina,2X,8X,18X,movies,3803
3873,1,Zilina Region,Zilina,2X,7X,18X,games,3840
3874,1,Trnava region,Trnava,2X,8X,17X,sports,3868
3875,0,Zilina Region,Kysucke New Town,0X,4X,16X,wssetkooo:d,3893
3876,0,Zilina Region,Cadca,1X,4X,16X,discos,3920
3877,0,Trenc region,Dubnica nad Vahom,2X,5X,17X,friends,3934
3878,1,Zilina region,instead,1X,6X,17X,Differently,3906
3879,0,Presov region,old lubovna,1X,4X,16X,dancing,3841
3880,1,abroad,abroad - Germany,2X,6X,18X,sports,3921
3881,0,Zilina Region,Kysucke New Town,2X,6X,18X,swim,3894
3882,0,Zilina Region,Zilina,2X,6X,18X,music,3795
3883,1,Zilina Region,Zilina,0X,7X,17X,sleeping,3855
3884,0,Zilina Region,Zilina,2X,7X,17X,reading,3881
3885,1,Zilina Region,Cadca,2X,8X,18X,camping,3947
3886,0,Zilina Region,Zilina,1X,5X,16X,sports,3895
3887,1,Trnava region,Trnava,1X,5X,17X,PC games,3796
3888,0,Zilina Region,Zilina,0X,4X,16X,sports,3948
3889,1,Zilina Region,Kysucke New Town,0X,7X,19X,friends,3856
3890,0,abroad,abroad - Austria,0X,7X,19X,surfing the web,3882
3891,0,Zilina Region,Cadca,2X,5X,16X,discos,3935
3892,1,Trnava region,Trnava,0X,7X,17X,party,3804
3893,1,Zilina Region,Cadca,2X,7X,17X,friends,3896
3894,1,Zilina Region,Zilina,0X,6X,17X,hiking,3949
3895,1,Presov Region,Poprad,1X,5X,16X,tourism,3962
3896,0,Zilina Region,Zilina,2X,5X,16X,games,3977
3897,0,Zilina Region,Zilina,0X,1000X,18X,friends,3936
3898,1,Trnava region,Trnava,2X,7X,17X,PC games,3883
3899,0,Banská Bystrica Region,Brezno,2X,5X,17X,music,3897
3900,0,Zilina Region,Zilina,2X,5X,16X,food,3963
3901,0,Banská Bystrica Region,Brezno,1X,5X,16X,shopping,3950
3902,0,Trnava region,Trnava,2X,5X,16X,discos,3805
3903,0,Zilina Region,Zilina,1X,5X,16X,swim,3937
3904,1,Trnava region,Trnava,1X,3X,14X,music,3781
3905,0,Trnava region,Trnava,1X,7X,17X,shopping,3884
3906,0,Zilina Region,Zilina,2X,4X,16X,discos,3978
3907,0,Zilina Region,Cadca,1X,4X,16X,friends,3938
3908,0,Trnava region,Trnava,1X,5X,17X,party,3806
3909,0,abroad,abroad - usa,0X,4X,16X,movies,3964
3910,0,Zilina Region,Cadca,2X,5X,16X,sports,3885
3911,1,Zilina region,instead,0X,6X,17X,friends,3951
3912,0,Zilina Region,Zilina,0X,6X,17X,theater,3939
3913,1,Zilinsky Region,Lower Kubin,0X,6X,17X,PC games,3965
3914,0,Banská Bystrica Region,Brezno,1X,6X,17X,camping,3898
3915,0,Zilina Region,Zilina,2X,6X,17X,sleeping,3886
3916,1,Banska Bystrica Region,Banska Bystrica,2X,7X,18X,games,3952
3917,0,Zilina region,instead,2X,4X,16X,traveling,3807
3918,0,Zilina Region,Kysucke New Town,2X,4X,16X,games,3992
3919,1,Trenc region,old ture,1X,6X,17X,party,3966
3920,0,Zilina Region,Rajec,0X,19X,17X,sleeping,3940
3921,0,Zilina Region,Zilina,0X,19X,17X,sports,4007
3922,0,Zilina Region,Zilina,2X,8X,17X,party,3899
3923,0,Zilina Region,Zilina,2X,4X,16X,sports,3808
3924,0,Trnava region,Trnava,2X,8X,18X,shopping,3993
3925,0,Zilina Region,Cadca,2X,5X,16X,shopping,3941
3926,0,Banská Bystrica region,disgusting,1X,5X,16X,seeding,3953
3927,0,Trnava region,Trnava,0X,99X,0X,!!! sleeping!!!,3979
3928,1,Banská Bystrica Region,Brezno,2X,7X,19X,discos,3967
3929,1,Banská Bystrica Region,Brezno,1X,4X,15X,winemaking,3900
3930,1,Trencian region,Povazka bystrica,1X,4X,15X,movies,4008
3931,1,Trnava region,hawthorn,2X,7X,18X,sports,3809
3932,1,Trnava region,Trnava,2X,7X,18X,food,3994
3933,0,abroad,abroad - France,0X,7X,18X,sleeping,3954
3934,0,Zilina Region,Kysucke New Town,0X,6X,18X,swim,3942
3935,1,Trnava region,Trnava,1X,6X,18X,cooking,3980
3936,1,Banská Bystrica Region,Brezno,1X,8X,19X,traveling,3968
3937,0,Banská Bystrica Region,Brezno,0X,6X,16X,catch up...,3901
3938,0,Zilina Region,Zilina,1X,7X,17X,discos,3810
3939,0,Trencian region,ilava,1X,4X,16X,movies,4009
3940,1,Zilina region,instead,0X,6X,17X,sleeping,3955
3941,0,Zilina Region,Zilina,2X,7X,18X,sleeping,3943
3942,1,Banská Bystrica Region,Brezno,1X,6X,17X,swim,4022
3943,0,Zilina Region,Cadca,2X,6X,17X,earn money,3750
3944,1,Trnava region,Trnava,3X,7X,17X,friends,3995
3945,1,Trnava region,Trnava,2X,9X,19X,movies,3981
3946,1,kosick region,kosice - surroundings,2X,7X,18X,swim,3751
3947,0,Zilinsky region,Martin,2X,7X,18X,sleeping,3969
3948,0,Zilina Region,Zilina,1X,7X,18X,swim,3944
3949,1,bratislava region,bratislava - raca,2X,7X,18X,internet,4023
3950,1,Zilina Region,Kysucke New Town,2X,4X,17X,painting,3811
3951,0,Nitra Region,Nitra,0X,4X,17X,friends,3956
3952,0,Banská Bystrica Region,Brezno,1X,6X,17X,dance,4010
3953,0,Trnava region,Trnava,2X,5X,16X,party,3996
3954,1,abroad,abroad - gb,2X,7X,16X,camping,3982
3955,0,Trnava region,Trnava,0X,4X,15X,party,4037
3956,0,Zilina region,apartment,2X,4X,16X,reading,3970
3957,0,Zilina Region,Zilina,1X,7X,18X,breeding,3945
3958,0,Trnava region,Trnava,0X,7X,18X,volleyball,4052
3959,1,Trnava region,Trnava,2X,7X,17X,sports,3983
3960,0,Bratislava region,Bratislava - surroundings,1X,7X,17X,party,3946
3961,1,Trnava region,Trnava,2X,8X,19X,games,4038
3962,0,Zilina Region,Cadca,0X,9X,19X,food,4067
3963,0,Zilina region,apartment,1X,4X,15X,sports,3971
3964,1,Trnava region,Trnava,1X,7X,17X,swim,4053
3965,0,Banská Bystrica Region,Brezno,1X,3X,15X,reading,4082
3966,0,Zilina region,apartment,2X,7X,18X,working with PC,3972
3967,0,Zilina Region,Zilina,1X,4X,16X,sleeping,3984
3968,1,Zilina Region,Kysucke New Town,0X,7X,18X,reading,4068
3969,0,Trnava region,Trnava,0X,6X,19X,surfing the web,4039
3970,1,abroad,abroad - others,0X,5X,17X,shopping,4054
3971,0,Zilina region,apartment,2X,5X,17X,sports,3973
3972,1,Banská Bystrica Region,Brezno,1X,6X,18X,music,4083
3973,1,Trencin region,Trencin,2X,6X,18X,games,4069
3974,0,Trnava region,Trnava,0X,4X,15X,sewing,4040
3975,1,Trnava region,hawthorn,2X,8X,17X,movies,3985
3976,1,Zilina region,apartment,2X,8X,18X,movies,3974
3977,0,Czech Republic,Czech Republic - Liberec Region,2X,8X,18X,shopping,4070
3978,1,Trnava region,Trnava,2X,8X,18X,party,4041
3979,0,Zilina region,apartment,2X,8X,18X,sports,3975
3980,1,Zilina Region,Kysucke New Town,2X,8X,19X,camping,4071
3981,1,Trnava region,Trnava,0X,8X,19X,sports,4055
3982,0,Trnava region,Trnava,2X,8X,19X,housework,3986
3983,1,Trencian region,birch tree under the railing,1X,6X,16X,friends,4042
3984,1,Trnava Region,Velky Meder,0X,7X,17X,sports,3976
3985,1,Zilina Region,Kysucke New Town,2X,7X,18X,discos,4072
3986,0,Trnava region,hawthorn,1X,7X,18X,swim,4056
3987,0,Trnava region,Trnava,0X,5X,17X,painting,4097
3988,0,Zilina Region,Kysucke New Town,2X,5X,16X,discos,4073
3989,0,Bratislava Region,Bratislava - Karlova Village,2X,5X,16X,reading,4057
3990,0,Banská Bystrica Region,Brezno,1X,5X,17X,surfing the web,4084
3991,1,Trnava region,Trnava,1X,7X,18X,sports,4098
3992,0,Zilina Region,Kysucke New Town,2X,3X,15X,swim,3987
3993,0,Zilina Region,Kysucke New Town,0X,8X,19X,sports,4058
3994,0,Trnava region,Trnava,1X,8X,19X,reading,4043
3995,1,Zilina Region,Kysucke New Town,2X,9X,20X,discos,4074
3996,0,Trnava region,Trnava,2X,7X,18X,cars,4099
3997,0,Zilina Region,Zilina,2X,5X,17X,discos,4059
3998,1,Trnava region,Trnava,0X,5X,17X,sports,3988
3999,1,Zilina Region,Rajecke Teplice,1X,5X,17X,music,3907
4000,1,Zilinsky region,Turzovka,2X,5X,17X,traveling,3922
4001,0,Trnava region,Trnava,1X,5X,17X,music,4044
4002,0,Trnava region,Trnava,1X,3X,15X,food,4100
4003,1,Banská Bystrica Region,Brezno,2X,6X,18X,sleeping,4085
4004,1,Trnava region,Trnava,2X,7X,19X,swim,3989
4005,0,Zilina Region,Kysucke New Town,0X,7X,19X,reading,4060
4006,1,Zilina Region,Zilina,2X,6X,17X,I own a buggy,4075
4007,1,Trnava region,Trnava,1X,7X,18X,sports,4045
4008,1,Zilina region,instead,0X,6X,17X,movies,3908
4009,1,Trnava region,Trnava,1X,8X,18X,sleeping,4101
4010,1,Zilina Region,Kysucke New Town,2X,8X,18X,movies,4061
4011,0,Zilina Region,Zilina,0X,6X,16X,music,3990
4012,0,Zilina Region,Zilina,0X,7X,1X,disco!:p:d,4076
4013,0,Trnava region,Trnava,1X,7X,1X,sports,3991
4014,0,Trnava region,hawthorn,2X,6X,17X,sports,3869
4015,1,Nitrian region,Surany,3X,7X,18X,singing,4102
4016,0,Zilina Region,Zilina,2X,5X,16X,breeding,4062
4017,1,Zilina Region,Zilina,2X,7X,17X,party,3923
4018,1,Banská Bystrica Region,Brezno,2X,5X,16X,cooking,4077
4019,0,Banská Bystrica Region,Brezno,1X,5X,16X,movies,4086
4020,0,Bratislava Region,Bratislava - New Town,2X,2X,1X,friends,4112
4021,1,Trnava region,hawthorn,2X,6X,16X,party,4046
4022,0,Zilina Region,Zilina,1X,5X,16X,cooking,3909
4023,1,Trnava region,Trnava,0X,5X,16X,movies,3870
4024,0,Zilina Region,Cadca,0X,6X,17X,friends,4063
4025,1,Trnava region,Leopoldov,1X,6X,17X,movies,4103
4026,0,Banská Bystrica Region,Brezno,1X,8X,17X,friends,4087
4027,0,Zilina Region,Kysucke New Town,2X,8X,17X,swim,3924
4028,1,Banská Bystrica Region,Brezno,1X,6X,18X,swim,4078
4029,1,Zilina Region,Liptovsky Castle,0X,7X,16X,swim,4047
4030,0,Banská Bystrica region,Rimava Saturday,0X,5X,17X,sports,3910
4031,0,Zilina Region,Cadca,1X,5X,16X,surfing the web,4064
4032,1,Zilina Region,Cadca,2X,9X,18X,traveling,3871
4033,0,Trnava region,Trnava,0X,9X,18X,everything,4104
4034,0,Trnava region,hawthorn,3X,6X,16X,movies,4048
4035,1,Zilina Region,Kysucke New Town,2X,9X,18X,swim,4065
4036,0,abroad,abroad - others,0X,5X,16X,photography,4079
4037,1,Zilina Region,Zilina,1X,8X,18X,sports,3911
4038,0,Zilina Region,Kysucke New Town,1X,5X,17X,shopping,4127
4039,1,Nitrian region,Topolcany,0X,7X,17X,shopping,4105
4040,0,Zilina Region,Kysucke New Town,1X,8X,18X,basketball,4066
4041,1,Trnava region,center,2X,6X,18X,chat :) ,4049
4042,0,Trnava Region,Senica,0X,5X,16X,working with PC,4088
4043,0,Banská Bystrica Region,Brezno,1X,6X,16X,hiking,4080
4044,0,Zilina Region,Zilina,0X,6X,16X,friends,3912
4045,0,Trencian region,ilava,1X,6X,16X,camping,4081
4046,0,Zilina Region,Zilina,1X,6X,16X,shopping,4142
4047,0,Trnava region,hawthorn,1X,7X,18X,surfing the web,3913
4048,1,Trencian region,ilava,2X,8X,19X,party,4089
4049,0,Trnava region,Trnava,1X,4X,15X,sports,4106
4050,0,Banská Bystrica Region,Brezno,2X,5X,17X,discos,4157
